openreview_number,title,authorids,authors,keywords,abstract,accepted_elsewhere,publication_conference_if_published,decision,award,arXiv,webpage,poster_session
34,InstructRL4Pix: Training Diffusion for Image Editing by Reinforcement Learning,~Tiancheng_Li4|~Jinxiu_Liu1|~Chen_Huajun1|~Qi_Liu19,Tiancheng Li|Jinxiu Liu|Chen Huajun|Qi Liu,image editing， diffusion model， reinforcement learning,"Instruction-based image editing has made great process in using natural human language to manipulate the visual content of images. However, existing models are limited by the quality of the dataset and cannot accurately localize editing regions in images with complex object relationships. In this paper, we propose Reinforcement Learning Guided Image Editing Method(InstructRL4Pix) to train a diffusion model to generate images that are guided by the attention maps of the target object. Our method maximizes the output of the reward model by calculating the distance between attention maps as a reward function and fine-tuning the diffusion model using proximal policy optimization (PPO). We evaluate our model in object insertion, removal, replacement, and transformation. Experimental results show that InstructRL4Pix breaks through the limitations of traditional datasets and uses unsupervised learning to optimize editing goals and achieve accurate image editing based on natural human commands.",No,,Accept (Poster),,,,2
35,Seamless Human Motion Composition with Blended Positional Encodings,~German_Barquero1|~Sergio_Escalera1|~Cristina_Palmero1,German Barquero|Sergio Escalera|Cristina Palmero,human motion|motion composition|motion generation|text-to-motion|temporal composition|diffusion|generative ai|blended positional encodings|bpe|relative encodings,"Conditional human motion generation is an important topic with many applications in virtual reality, gaming, and robotics. While prior works have focused on generating motion guided by text, music, or scenes, these typically result in isolated motions confined to short durations. Instead, we address the generation of long, continuous sequences guided by a series of varying textual descriptions. In this context, we introduce FlowMDM, the first diffusion-based model that generates seamless Human Motion Compositions (HMC) without any postprocessing or redundant denoising steps. For this, we introduce the Blended Positional Encodings, a technique that leverages both absolute and relative positional encodings in the denoising chain. More specifically, global motion coherence is recovered at the absolute stage, whereas smooth and realistic transitions are built at the relative stage. As a result, we achieve state-of-the-art results in terms of accuracy, realism, and smoothness on the Babel and HumanML3D datasets. FlowMDM excels when trained with only a single description per motion sequence thanks to its Pose-Centric Cross-ATtention, which makes it robust against varying text descriptions at inference time. Finally, to address the limitations of existing HMC metrics, we propose two new metrics: the Peak Jerk and the Area Under the Jerk, to detect abrupt transitions.",Yes,CVPR24,Accept (Poster),,https://arxiv.org/abs/2402.15509,https://barquerogerman.github.io/FlowMDM/,1
36,CustomText: Customized Textual Image Generation using Diffusion Models,~Shubham_Paliwal1|~Arushi_Jain3|~Monika_Sharma2|~Vikram_Jamwal1|~Lovekesh_Vig1,Shubham Paliwal|Arushi Jain|Monika Sharma|Vikram Jamwal|Lovekesh Vig,Image Editing|Diffusion Models|ControlNet|Consistency Decoder|Textual Image,"Textual image generation spans diverse fields like advertising, education, product packaging, social media, information visualization, and branding. Despite recent strides in language-guided image synthesis using diffusion models, current models excel in image generation but struggle with accurate text rendering and offer limited control over font attributes. In this paper, we aim to enhance the synthesis of high-quality images with precise text customization, thereby contributing to the advancement of image generation models. We call our proposed method CustomText. Our implementation leverages a pre-trained TextDiffuser model to enable control over font color, background, and types. Additionally, to address the challenge of accurately rendering small sized fonts, we train the ControlNet model for a consistency decoder, significantly enhancing text-generation performance. We assess the performance of CustomText in comparison to previous methods of textual image generation, showcasing superior results.",No,,Accept (Poster),,https://arxiv.org/abs/2405.12531,,2
38,The Curious Case of End Token: A Zero-Shot Disentangled Image Editing using CLIP,~Hidir_Yesiltepe1|~Yusuf_Dalva1|~Pinar_Yanardag1,Hidir Yesiltepe|Yusuf Dalva|Pinar Yanardag,diffusion|editing|clip,"Diffusion models have become prominent in creating high-quality images. However, unlike GAN models celebrated for their ability to edit images in a disentangled manner, diffusion-based text-to-image models struggle to achieve the same level of precise attribute manipulation without compromising image coherence. In this paper, CLIP which is often used in popular text-to-image diffusion models such as Stable Diffusion is capable of performing disentangled editing in a zero-shot manner. Through both qualitative and quantitative comparisons with state-of-the-art editing methods, we show that our approach yields competitive results. This insight may open opportunities for applying this method to various tasks, including image and video editing, providing a lightweight and efficient approach for disentangled editing.",No,,Accept (Poster),,,,2
39,SSR-Encoder: Encoding Selective Subject Representation for Subject-Driven Generation,~Yuxuan_Zhang3|~Yiren_Song1|~Jiaming_Liu7|~Rui_Wang33|~Jinpeng_Yu1|~Hao_Tang6|~Huaxia_Li1|~Xu_Tang1|~Yao_Hu1|~Han_SJTU_Pan1|~Zhongliang_Jing1,Yuxuan Zhang|Yiren Song|Jiaming Liu|Rui Wang|Jinpeng Yu|Hao Tang|Huaxia Li|Xu Tang|Yao Hu|Han SJTU Pan|Zhongliang Jing,subject-driven image generation|diffusion,"Recent advancements in subject-driven image generation have led to zero-shot generation, yet precise selection and focus on crucial subject representations remain challenging. Addressing this, we introduce the SSR-Encoder, a novel architecture designed for selectively capturing any subject from single or multiple reference images. It responds to various query modalities including text and masks, without necessitating test-time fine-tuning. The SSR-Encoder combines a Token-to-Patch Aligner that aligns query inputs with image patches and a Detail-Preserving Subject Encoder for extracting and preserving fine features of the subjects, thereby generating subject embeddings. These embeddings, used in conjunction with original text embeddings, condition the generation process. Characterized by its model generalizability and efficiency, the SSR-Encoder adapts to a range of custom models and control modules. Enhanced by the Embedding Consistency Regularization Loss for improved training, our extensive experiments demonstrate its effectiveness in versatile and high-quality image generation, indicating its broad applicability.",Yes,CVPR24,Accept (Poster),,,,1
41,CamViG: Camera Aware Image-to-Video Generation with Multimodal Transformers,~Andrew_Marmon1|~Grant_Schindler3|~Jose_Lezama1|~Dan_Kondratyuk1|~Bryan_Seybold1|~Irfan_Essa1,Andrew Marmon|Grant Schindler|Jose Lezama|Dan Kondratyuk|Bryan Seybold|Irfan Essa,Generative Video|3D Cameras,"We extend multimodal transformers to include 3D camera motion as a conditioning signal for the task of video generation. Generative video models are becoming increasingly powerful, thus focusing research efforts on methods of controlling the output of such models. We propose to add virtual 3D camera controls to generative video methods by conditioning generated video on an encoding of three-dimensional camera movement over the course of the generated video. Results demonstrate that we are (1) able to successfully control the camera during video generation, starting from a single frame and a camera signal, and (2) we demonstrate the accuracy of the generated 3D camera paths using traditional computer vision methods.",No,,Accept (Poster),,https://arxiv.org/abs/2405.13195,,1
42,ViVid-1-to-3: Novel View Synthesis with Video Diffusion Models,~Jeong-gi_Kwak1|~Erqun_Dong1|~Yuhe_Jin1|~Hanseok_Ko1|~Shweta_Mahajan1|~Kwang_Moo_Yi1,Jeong-gi Kwak|Erqun Dong|Yuhe Jin|Hanseok Ko|Shweta Mahajan|Kwang Moo Yi,Novel-view synthesis|Diffusion models|Video diffusion,"Generating novel views of an object from a single image is a challenging task. It requires an understanding of the underlying 3D structure of the object from an image and rendering high-quality, spatially consistent new views. While recent methods for view synthesis based on diffusion have shown great progress, achieving consistency among various view estimates and at the same time abiding by the desired camera pose remains a critical problem yet to be solved. In this work, we demonstrate a strikingly simple method, where we utilize a pre-trained video diffusion model to solve this problem. Our key idea is that synthesizing a novel view could be reformulated as synthesizing a video of a camera going around the object of interest---a scanning video---which then allows us to leverage the powerful priors that a video diffusion model would have learned. Thus, to perform novel-view synthesis, we create a smooth camera trajectory to the target view that we wish to render, and denoise using both a view-conditioned diffusion model and a video diffusion model. By doing so, we obtain a highly consistent novel view synthesis, outperforming the state of the art.",Yes,CVPR24,Accept (Poster),,https://arxiv.org/abs/2312.01305/,https://ubc-vision.github.io/vivid123/,2
43,DL3DV-10K: A Large-Scale Scene Dataset for Deep Learning-based 3D Vision,~Lu_Ling1|~Yichen_Sheng1|~Zhi_Tu1|~Wentian_Zhao3|~Cheng_Xin2|~Kun_Wan1|~Lantao_Yu3|~Qianyu_Guo3|~Zixun_Yu1|~Yawen_Lu2|~Xuanmao_Li1|~Xingpeng_Sun1|~Rohan_Ashok1|~Aniruddha_Mukherjee1|~Hao_Kang2|~Xiangrui_Kong1|~Gang_Hua3|~Tianyi_Zhang7|~Bedrich_Benes1|~Aniket_Bera1,Lu Ling|Yichen Sheng|Zhi Tu|Wentian Zhao|Cheng Xin|Kun Wan|Lantao Yu|Qianyu Guo|Zixun Yu|Yawen Lu|Xuanmao Li|Xingpeng Sun|Rohan Ashok|Aniruddha Mukherjee|Hao Kang|Xiangrui Kong|Gang Hua|Tianyi Zhang|Bedrich Benes|Aniket Bera,Scene Dataset|3D Representation|Foundation Model|Neural Radiance Field,"We have witnessed significant progress in deep learning-based 3D vision, ranging from neural radiance field (NeRF) based 3D representation learning to applications in novel view synthesis (NVS). However, existing scene-level datasets for deep learning-based 3D vision, limited to either synthetic environments or a narrow selection of real-world scenes, are quite insufficient. This insufficiency not only hinders a comprehensive benchmark of existing methods but also caps what could be explored in deep learning-based 3D analysis. To address this critical gap, we present DL3DV-10K, a large-scale scene dataset featuring 51.2 million frames from 10,510 videos captured from 65 types of point-of-interest (POI) locations, covering both bounded and unbounded scenes, with different levels of reflection, transparency, and lighting. We conducted a comprehensive benchmark of recent NVS methods on DL3DV-10K, which revealed valuable insights for future research in NVS. In addition, we have obtained encouraging results in a pilot study to learn generalizable NeRF from DL3DV-10K, which manifests the necessity of a large-scale scene-level dataset to forge a path toward a foundation model for learning 3D representation. Our DL3DV-10K dataset, benchmark results, and models will be publicly accessible.",Yes,CVPR24,Accept (Poster),,https://arxiv.org/pdf/2312.16256,https://arxiv.org/pdf/2312.16256,1
44,Temporally Consistent Object Editing in Videos using Extended Attention,~AmirHossein_Zamani1|~Amir_Aghdam1|~Tiberiu_Popa1|~Eugene_Belilovsky1,AmirHossein Zamani|Amir Aghdam|Tiberiu Popa|Eugene Belilovsky,Video editing|inpainting diffusion model|temporal consistency|extended attention modules|video retargeting,"Image generation and editing have seen a great deal of advancements with the rise of large-scale diffusion models that allow user control of different modalities such as text, mask, depth maps, etc. However, controlled editing of videos still lags behind. Prior work in this area has focused on using 2D diffusion models to globally change the style of an existing video. On the other hand in many practical applications editing localized parts of the video is critical. In this work, we propose a method to edit videos using a pre-trained inpainting image diffusion model. We systematically redesign the forward path of the model by replacing the self-attention modules with an extended version of attention modules that creates frame-level dependencies. In this way, we ensure that the edited information will be consistent across all the video frames no matter what the shape and position of the masked area is. We qualitatively compare our results with state-of-the-art in terms of accuracy on several video editing tasks like object retargeting, object replacement, and object removal tasks. Simulations demonstrate the superior performance of the proposed strategy.",No,,Accept (Poster),,,,2
45,ElasticDiffusion: Training-free Arbitrary Size Image Generation,~Moayed_Haji-Ali1|~Guha_Balakrishnan1|~Vicente_Ordonez2,Moayed Haji-Ali|Guha Balakrishnan|Vicente Ordonez,Diffusion models|Image Generation|Text2Image|Higher-resolution|Arbitrary-size,"Diffusion models have revolutionized image generation in recent years, yet they are still limited to a few sizes and aspect ratios. We propose ElasticDiffusion, a novel training-free decoding method that enables pretrained text-to-image diffusion models to generate images with various sizes. ElasticDiffusion attempts to decouple the generation trajectory of a pretrained model into local and global signals. The local signal controls low-level pixel information and can be estimated on local patches, while the global signal is used to maintain overall structural consistency and is estimated with a reference image. Our experiments on two datasets: CelebA-HQ (faces), and LAION-COCO (objects/indoor/outdoor scenes) demonstrate higher perceptual quality across aspect ratios compared to MultiDiffusion and the standard decoding strategy for Stable Diffusion. We test our method on CelebA-HQ (faces) and LAION-COCO (objects/indoor/outdoor scenes). Our experiments and qualitative results show superior image coherence quality across aspect ratios compared to MultiDiffusion and the standard decoding strategy of Stable Diffusion.",Yes,CVPR24,Accept (Poster),,,,1
46,ClickDiffusion: Harnessing LLMs for Interactive Precise Image Editing,~Alec_Helbling1|~Seongmin_Lee2|~Duen_Horng_Chau1,Alec Helbling|Seongmin Lee|Duen Horng Chau,Diffusion|LLM|Multi-modal,"Recently, researchers have proposed powerful systems for generating and manipulating images using natural language instructions. However, it is difficult to precisely specify many common classes of image transformations with text alone. For example, a user may wish to change the location and breed of a particular dog in an image with several similar dogs. This task is quite difficult with natural language alone, and would require a user to write a laboriously complex prompt that both disambiguates the target dog and describes the destination. We propose ClickDiffusion, a system for precise image manipulation and generation that combines natural language instructions with visual feedback provided by the user through a direct manipulation interface. We demonstrate that by serializing both an image and a multi-modal instruction into a textual representation it is possible to leverage LLMs to perform precise transformations of the layout and appearance of an image.",No,,Accept (Poster),,https://arxiv.org/abs/2404.04376,https://github.com/poloclub/ClickDiffusion/tree/main,2
48,EraseDraw: Learning to Insert Objects by Erasing Them from Images,~Alper_Canberk1|~Maksym_Bondarenko1|~Ege_Ozguroglu1|~Ruoshi_Liu2|~Carl_Vondrick2,Alper Canberk|Maksym Bondarenko|Ege Ozguroglu|Ruoshi Liu|Carl Vondrick,content creation|image editing|object insertion|dataset creation,"Creative processes like painting involve creating different components of an image one by one. Can we build a computational model to perform this task? Prior works often fail by making global changes to the image, inserting objects in unrealistic spatial locations, and generating inaccurate lighting details. We observe that while state-of-the-art models perform poorly on object insertion, they can remove objects and erase the background in natural images very well. Inverting the direction of object removal, we obtain high-quality data for learning to insert objects that are spatially, physically, and optically consistent with the surroundings. With this scalable automatic data generation pipeline, we create a dataset for learning object insertion, which is used to train our text-conditioned diffusion model. Qualitative and quantitative experiments have shown that our model achieves state-of-the-art results in object insertion, particularly for in-the-wild images. We show compelling results on diverse insertion prompts and images across various domains. In addition, we pioneer iterative image generation by combining our insertion model with beam search guided by CLIP.",No,,Accept (Poster),,,,2
50,ICE-G: Image Conditional Editing of 3D Gaussian Splats,~Vishnu_Jaganathan1|~Hanyun_Huang1|~Muhammad_Zubair_Irshad1|~Varun_Jampani2|~Amit_Raj1|~Zsolt_Kira1,Vishnu Jaganathan|Hanyun Huang|Muhammad Zubair Irshad|Varun Jampani|Amit Raj|Zsolt Kira,Gaussian Splatting|NeRFs|3D editing|DINO,"Recently many techniques have emerged to create high quality 3D assets and scenes. When it comes to editing of these objects, however, existing approaches are either slow, compromise on quality, or do not provide enough customization. We introduce a novel approach to quickly edit a 3D model from a single reference view. Our technique first segments the edit image, and then matches semantically corresponding regions across chosen segmented dataset views using DINO features. A color or texture change from a particular region of the edit image can then be applied to other views automatically in a semantically sensible manner. These edited views act as an updated dataset to further train and re-style the 3D scene. The end-result is therefore an edited 3D model. Our framework enables a wide variety of editing tasks such as manual local edits, correspondence based style transfer from any example image, and a combination of different styles from multiple example images. We use Gaussian Splats as our primary 3D representation due to their speed and ease of local editing, but our technique works for other methods such as NeRFs as well. We show through multiple examples that our method produces higher quality results while offering fine grained control of editing.",No,,Accept (Poster),,,https://ice-gaussian.github.io/,1
53,TriLoRA: Integrating SVD for Advanced Style Personalization in Text-to-Image,~Chengcheng_Feng1|~mu_he2|~Xiaofang_Zhao1|~haojie_yin1|~Qiuyu_Tian1|~Tang_Hongwei1|~Xing_Qiang_Wei2,Chengcheng Feng|mu he|Xiaofang Zhao|haojie yin|Qiuyu Tian|Tang Hongwei|Xing Qiang Wei,Diffusion Model|Stable Diffusion|Fine-tuning|LoRA,"As deep learning technology continues to advance, image generation models, especially models like Stable Diffusion, are finding increasingly widespread application in visual arts creation. However, these models often face challenges such as overfitting, lack of stability in generated results, and difficulties in accurately capturing the features desired by creators during the fine-tuning process. In response to these challenges, we propose an innovative method that integrates Singular Value Decomposition (SVD) into the Low-Rank Adaptation (LoRA) parameter update strategy, aimed at enhancing the fine-tuning efficiency and output quality of image generation models. By incorporating SVD within the LoRA framework, our method not only effectively reduces the risk of overfitting but also enhances the stability of model outputs, and captures subtle, creator-desired feature adjustments more accurately. We evaluated our method on multiple datasets, and the results show that, compared to traditional fine-tuning methods, our approach significantly improves the model's generalization ability and creative flexibility while maintaining the quality of generation. Moreover, this method maintains LoRA's excellent performance under resource-constrained conditions, allowing for significant improvements in image generation quality without sacrificing the original efficiency and resource advantages.",No,,Accept (Poster),,,,1
54,LEAST: Local text-conditioned image style transfer,~Silky_Singh1|~Surgan_Jandial2|~Simra_Shahid1|~Abhinav_Java1,Silky Singh|Surgan Jandial|Simra Shahid|Abhinav Java,style transfer|image editing,"Text-conditioned style transfer enables users to communicate their desired artistic styles through text descriptions, offering a new and expressive means of achieving stylization. In this work, we evaluate the text-conditioned image editing and style transfer techniques on their fine-grained understanding of user prompts for precise “local” style transfer. We find that current methods fail to accomplish localized style transfers effectively, either failing to localize style transfer to certain regions in the image, or distorting the content and structure of the input image. To this end, we carefully design an end-to-end pipeline that guarantees local style transfer according to users’ intent. Further, we substantiate the effectiveness of our approach through quantitative and qualitative analysis.",No,,Accept (Poster),,https://arxiv.org/abs/2405.16330,https://github.com/silky1708/local-style-transfer,2
55,My Body My Choice: Human-Centric Full-Body Anonymization,~Umur_A._Ciftci1|~Ali_Kemal_Tanriverdi1|~Ilke_Demir3,Umur A. Ciftci|Ali Kemal Tanriverdi|Ilke Demir,guided generative AI|body anonymization|human generation|adversarial attack,"In an era of increasing privacy concerns for our online presence, we propose that the decision to appear in a piece of content should only belong to the owner of the body. Although some automatic approaches for full-body anonymization have been proposed, human-guided anonymization can adapt to various contexts, such as cultural norms, personal relations, esthetic concerns, and security issues. ""My Body My Choice"" (MBMC) enables physical and adversarial anonymization by removal and swapping approaches aimed for four tasks, designed by single or multi, ControlNet or GAN modules, combining several diffusion models. We evaluate anonymization on seven datasets; compare with SOTA inpainting and anonymization methods; evaluate by image, adversarial, and generative metrics; and conduct reidentification experiments.",No,,Accept (Poster),,,,1
